CustomerID,FirstPurchaseDate,Country,City,AgeGroup,Gender
C00046,2024-09-02,Canada,Vancouver,45-54,Female
C00047,2024-07-14,Canada,Montreal,25-34,Female
C00048,2024-03-27,UK,London,25-34,Female
C00049,2024-01-27,UK,Manchester,35-44,Male
C00050,2024-01-24,Australia,Melbourne,18-24,Male
C00051,2024-04-07,Canada,Vancouver,45-54,Female
C00052,2024-01-25,USA,Phoenix,18-24,Male
C00053,2024-04-01,Canada,Vancouver,55+,Female
C00054,2024-08-04,Germany,Berlin,45-54,Female
C00055,2024-03-29,USA,New York,25-34,Female
C00056,2024-06-03,USA,Los Angeles,18-24,Male
C00057,2024-03-08,USA,Chicago,45-54,Male
C00058,2024-07-25,UK,Manchester,35-44,Female
C00059,2024-01-12,Australia,Melbourne,35-44,Female
C00060,2024-07-05,Australia,Sydney,45-54,Female
C00061,2024-04-27,UK,Manchester,18-24,Male
C00062,2024-05-17,Canada,Montreal,25-34,Male
C00063,2024-02-01,UK,Birmingham,18-24,Female
C00064,2024-09-06,Australia,Melbourne,45-54,Female
C00065,2024-08-24,UK,Manchester,35-44,Female
C00066,2024-04-06,Germany,Berlin,25-34,Male
C00067,2024-01-21,Canada,Vancouver,18-24,Female
C00068,2024-05-21,USA,New York,25-34,Female
C00069,2024-03-16,USA,Chicago,25-34,Female
C00070,2024-07-31,UK,London,35-44,Male
C00071,2024-06-09,Canada,Vancouver,35-44,Male
C00072,2024-06-07,USA,New York,45-54,Female
C00073,2024-08-14,UK,London,25-34,Male
C00074,2024-08-08,UK,Birmingham,18-24,Male
C00075,2024-04-02,Canada,Toronto,35-44,Female
C00076,2024-05-27,Canada,Toronto,45-54,Male
C00077,2024-02-19,UK,Birmingham,35-44,Female
C00078,2024-06-29,USA,Los Angeles,45-54,Male
C00079,2024-01-18,Germany,Berlin,25-34,Female
C00080,2024-01-12,Germany,Munich,35-44,Female
C00081,2024-06-18,Australia,Melbourne,25-34,Male
C00082,2024-02-28,Canada,Montreal,18-24,Male
C00083,2024-07-16,Canada,Toronto,18-24,Male
C00084,2024-03-15,Canada,Montreal,18-24,Male
C00085,2024-01-21,USA,New York,35-44,Female
C00086,2024-08-06,Australia,Melbourne,25-34,Female
C00087,2024-02-29,USA,Los Angeles,35-44,Male
C00088,2024-08-09,UK,Birmingham,55+,Male
C00089,2024-01-26,Canada,Toronto,25-34,Male
C00090,2024-04-07,Germany,Berlin,25-34,Female
C00091,2024-03-12,Germany,Berlin,45-54,Male
C00092,2024-04-26,USA,Chicago,25-34,Female
C00093,2024-06-11,Germany,Munich,18-24,Female
C00094,2024-08-01,USA,Chicago,25-34,Female
C00095,2024-04-03,Canada,Vancouver,25-34,Male
C00096,2024-02-11,USA,Houston,55+,Female
C00097,2024-04-04,USA,Chicago,45-54,Male
C00098,2024-03-31,USA,Houston,35-44,Male
C00099,2024-02-23,USA,Chicago,45-54,Female
C00100,2024-06-20,UK,London,45-54,Female
C00101,2024-03-09,Germany,Munich,25-34,Male
C00102,2024-06-28,Australia,Melbourne,45-54,Male
C00103,2024-08-27,USA,Phoenix,35-44,Male
C00104,2024-06-23,UK,Birmingham,45-54,Male
C00105,2024-06-14,Canada,Vancouver,45-54,Male
C00106,2024-01-19,Germany,Berlin,25-34,Male
C00107,2024-06-04,USA,New York,18-24,Male
C00108,2024-06-11,Germany,Munich,25-34,Female
C00109,2024-02-13,USA,Phoenix,25-34,Female
C00110,2024-05-16,USA,Phoenix,45-54,Female
C00111,2024-07-05,USA,Phoenix,45-54,Male
C00112,2024-03-03,Canada,Vancouver,18-24,Female
C00113,2024-02-11,Canada,Vancouver,35-44,Female
C00114,2024-04-28,USA,New York,25-34,Female
C00115,2024-04-07,USA,Houston,25-34,Female
C00116,2024-03-10,Canada,Toronto,18-24,Female
C00117,2024-08-24,USA,Chicago,25-34,Female
C00118,2024-06-12,Canada,Vancouver,55+,Male
C00119,2024-06-25,Canada,Montreal,25-34,Female
C00120,2024-05-22,USA,Chicago,35-44,Female
C00121,2024-02-26,Canada,Vancouver,35-44,Female
C00122,2024-06-24,Canada,Vancouver,25-34,Female
C00123,2024-03-24,USA,Chicago,55+,Male
C00124,2024-08-03,Canada,Toronto,55+,Male
C00125,2024-07-15,Canada,Toronto,25-34,Female
C00126,2024-07-17,USA,Phoenix,25-34,Female
C00127,2024-01-15,USA,Los Angeles,25-34,Female
C00128,2024-02-28,Canada,Toronto,25-34,Male
C00129,2024-07-29,Canada,Montreal,18-24,Male
C00130,2024-01-09,Australia,Melbourne,35-44,Female
C00131,2024-07-25,Germany,Munich,35-44,Female
C00132,2024-03-21,Canada,Montreal,18-24,Female
C00133,2024-04-12,UK,London,25-34,Male
C00134,2024-03-09,Germany,Berlin,55+,Female
C00135,2024-01-17,Germany,Munich,25-34,Male
C00136,2024-02-24,Canada,Vancouver,18-24,Female
C00137,2024-08-21,USA,Chicago,25-34,Male
C00138,2024-08-29,Germany,Munich,55+,Male
C00139,2024-05-25,Germany,Munich,25-34,Female
C00140,2024-08-12,USA,Houston,35-44,Female
C00141,2024-07-02,USA,New York,45-54,Male
C00142,2024-03-21,USA,Phoenix,25-34,Female
C00143,2024-02-24,Canada,Montreal,35-44,Male
C00144,2024-06-16,Australia,Sydney,25-34,Male
C00145,2024-05-07,Canada,Vancouver,35-44,Male
C00146,2024-04-11,USA,Los Angeles,35-44,Male
C00147,2024-08-14,Canada,Montreal,35-44,Female
C00148,2024-08-22,USA,Phoenix,18-24,Male
C00149,2024-06-13,Australia,Melbourne,45-54,Female
C00150,2024-04-27,Canada,Montreal,25-34,Female
C00151,2024-02-06,UK,Manchester,25-34,Male
C00152,2024-03-08,Canada,Montreal,18-24,Female
C00153,2024-02-05,Canada,Vancouver,35-44,Male
C00154,2024-03-04,USA,Los Angeles,35-44,Female
C00155,2024-07-09,UK,Birmingham,18-24,Male
C00156,2024-05-23,Germany,Berlin,35-44,Male
C00157,2024-05-17,Canada,Vancouver,25-34,Male
C00158,2024-03-08,Canada,Toronto,35-44,Male
C00159,2024-07-10,USA,Houston,25-34,Male
C00160,2024-05-29,Canada,Toronto,35-44,Female
C00161,2024-04-19,USA,Chicago,25-34,Female
C00162,2024-08-17,UK,Birmingham,55+,Female
C00163,2024-05-29,USA,Phoenix,18-24,Female
C00164,2024-04-12,Australia,Sydney,25-34,Male
C00165,2024-04-02,Australia,Melbourne,18-24,Male
C00166,2024-02-26,Canada,Montreal,55+,Male
C00167,2024-02-05,UK,London,45-54,Male
C00168,2024-05-10,USA,Los Angeles,25-34,Female
C00169,2024-05-06,UK,Manchester,35-44,Female
C00170,2024-01-24,USA,Los Angeles,45-54,Male
C00171,2024-07-12,Australia,Melbourne,35-44,Male
C00172,2024-01-13,USA,Houston,35-44,Female
C00173,2024-08-08,USA,Chicago,25-34,Female
C00174,2024-01-29,UK,Manchester,18-24,Male
C00175,2024-02-09,UK,Manchester,45-54,Female
C00176,2024-06-09,UK,Birmingham,55+,Female
C00177,2024-02-10,UK,Manchester,35-44,Male
C00178,2024-07-21,USA,Houston,25-34,Male
C00179,2024-06-23,UK,London,25-34,Female
C00180,2024-04-18,Canada,Vancouver,35-44,Female
C00181,2024-06-01,USA,New York,45-54,Female
C00182,2024-01-17,UK,Birmingham,45-54,Male
C00183,2024-04-08,Germany,Berlin,45-54,Male
C00184,2024-04-07,Australia,Melbourne,35-44,Female
C00185,2024-06-01,UK,London,18-24,Female
C00186,2024-04-29,Australia,Sydney,25-34,Male
C00187,2024-05-15,Germany,Munich,45-54,Female
C00188,2024-03-05,UK,Birmingham,35-44,Female
C00189,2024-09-05,UK,Manchester,18-24,Female
C00190,2024-05-21,USA,Houston,18-24,Female
C00191,2024-08-08,Australia,Sydney,35-44,Female
C00192,2024-08-29,UK,London,18-24,Male
C00193,2024-01-03,Canada,Toronto,25-34,Female
C00194,2024-06-23,Canada,Toronto,35-44,Male
C00195,2024-07-03,USA,Chicago,35-44,Female
C00196,2024-01-30,UK,Manchester,35-44,Male
C00197,2024-06-23,USA,Phoenix,25-34,Female
C00198,2024-08-14,UK,Manchester,35-44,Male
C00199,2024-05-17,USA,Los Angeles,25-34,Male
C00200,2024-07-11,USA,Chicago,25-34,Male
C00201,2024-03-09,UK,Birmingham,35-44,Male
C00202,2024-07-15,USA,Los Angeles,35-44,Female
C00203,2024-06-13,USA,New York,45-54,Female
C00204,2024-03-28,USA,Houston,35-44,Female
C00205,2024-01-29,USA,Chicago,35-44,Male
C00206,2024-03-16,USA,Los Angeles,18-24,Male
C00207,2024-04-21,UK,Manchester,25-34,Male
C00208,2024-02-10,Germany,Berlin,25-34,Male
C00209,2024-04-26,Canada,Toronto,25-34,Female
C00210,2024-01-01,UK,Manchester,55+,Male
C00211,2024-09-01,USA,Chicago,25-34,Male
C00212,2024-07-03,Germany,Berlin,45-54,Male
C00213,2024-08-12,Germany,Berlin,35-44,Male
C00214,2024-07-03,USA,Phoenix,45-54,Female
C00215,2024-03-08,Germany,Berlin,35-44,Female
C00216,2024-09-05,UK,Manchester,35-44,Male
C00217,2024-05-08,Germany,Berlin,25-34,Male
C00218,2024-07-14,Canada,Toronto,25-34,Male
C00219,2024-02-15,Australia,Melbourne,35-44,Male
C00220,2024-05-09,UK,Birmingham,25-34,Male
C00221,2024-08-21,USA,Houston,18-24,Female
C00222,2024-01-28,Australia,Melbourne,35-44,Female
C00223,2024-08-10,USA,Houston,25-34,Female
C00224,2024-06-09,UK,Manchester,55+,Male
C00225,2024-03-17,Canada,Vancouver,55+,Male
C00226,2024-08-03,UK,London,55+,Female
C00227,2024-06-12,UK,London,25-34,Female
C00228,2024-05-09,Germany,Berlin,18-24,Female
C00229,2024-06-04,USA,Chicago,55+,Male
C00230,2024-02-20,UK,London,25-34,Female
C00231,2024-02-09,USA,Chicago,55+,Male
C00232,2024-04-05,USA,Phoenix,55+,Female
C00233,2024-07-14,UK,London,45-54,Female
C00234,2024-02-11,Canada,Toronto,25-34,Female
C00235,2024-05-18,UK,Birmingham,25-34,Male
C00236,2024-09-01,USA,New York,45-54,Female
C00237,2024-07-18,USA,Los Angeles,25-34,Male
C00238,2024-08-24,Canada,Toronto,25-34,Male
C00239,2024-05-15,UK,Birmingham,35-44,Male
C00240,2024-08-23,USA,Chicago,55+,Female
C00241,2024-01-01,USA,Chicago,35-44,Male
C00242,2024-06-02,USA,Los Angeles,35-44,Male
C00243,2024-03-23,UK,London,18-24,Female
C00244,2024-05-05,Canada,Vancouver,35-44,Male
C00245,2024-01-05,Germany,Munich,55+,Female
C00246,2024-01-29,Germany,Berlin,18-24,Male
C00247,2024-08-25,Canada,Toronto,35-44,Male
C00248,2024-04-02,Canada,Toronto,45-54,Female
C00249,2024-08-12,UK,Manchester,35-44,Male
C00250,2024-07-31,USA,Chicago,35-44,Male
C00251,2024-07-25,Canada,Vancouver,35-44,Female
C00252,2024-03-19,USA,Phoenix,25-34,Female
C00253,2024-03-02,Germany,Munich,25-34,Female
C00254,2024-01-15,USA,Houston,45-54,Male
C00255,2024-03-02,UK,Birmingham,45-54,Male
C00256,2024-08-12,USA,Los Angeles,45-54,Female
C00257,2024-05-25,Germany,Munich,55+,Female
C00258,2024-08-30,USA,Houston,35-44,Female
C00259,2024-01-21,Australia,Melbourne,35-44,Female
C00260,2024-01-22,UK,London,45-54,Female
C00261,2024-07-06,Australia,Sydney,35-44,Female
C00262,2024-05-04,UK,Manchester,35-44,Male
C00263,2024-07-27,UK,London,45-54,Female
C00264,2024-01-18,USA,Los Angeles,45-54,Male
C00265,2024-09-07,UK,London,25-34,Male
C00266,2024-07-13,USA,Los Angeles,25-34,Female
C00267,2024-05-16,Canada,Toronto,18-24,Female
C00268,2024-07-15,Canada,Montreal,35-44,Male
C00269,2024-02-02,USA,New York,18-24,Male
C00270,2024-02-02,UK,Birmingham,25-34,Male
C00271,2024-06-17,Canada,Montreal,35-44,Female
C00272,2024-05-01,USA,Los Angeles,25-34,Female
C00273,2024-08-30,USA,New York,35-44,Male
C00274,2024-05-20,UK,Manchester,18-24,Male
C00275,2024-02-12,Canada,Montreal,18-24,Female
C00276,2024-03-08,UK,Birmingham,45-54,Male
C00277,2024-05-15,Australia,Sydney,25-34,Female
C00278,2024-08-11,Canada,Vancouver,18-24,Female
C00279,2024-06-04,USA,Chicago,35-44,Male
C00280,2024-04-18,Germany,Berlin,45-54,Female
C00281,2024-09-03,Canada,Montreal,25-34,Male
C00282,2024-02-24,Canada,Toronto,35-44,Male
C00283,2024-08-25,Canada,Montreal,18-24,Female
C00284,2024-05-18,USA,New York,18-24,Male
C00285,2024-07-12,USA,New York,35-44,Other
C00286,2024-07-05,USA,New York,35-44,Female
C00287,2024-06-25,UK,Birmingham,35-44,Male
C00288,2024-02-21,UK,London,35-44,Male
C00289,2024-07-01,Australia,Melbourne,55+,Male
C00290,2024-03-20,UK,Manchester,35-44,Male
C00291,2024-04-12,Canada,Vancouver,25-34,Male
C00292,2024-06-20,UK,London,45-54,Male
C00293,2024-06-15,Australia,Melbourne,25-34,Male
C00294,2024-04-05,USA,Houston,25-34,Female
C00295,2024-04-22,USA,Los Angeles,18-24,Female
C00296,2024-08-18,Canada,Toronto,18-24,Female
C00297,2024-05-12,Canada,Montreal,55+,Male
C00298,2024-04-25,UK,Birmingham,45-54,Male
C00299,2024-01-31,Canada,Montreal,35-44,Female
C00300,2024-03-04,USA,New York,25-34,Female
C00301,2024-02-27,USA,Chicago,25-34,Male
C00302,2024-01-17,USA,Houston,25-34,Female
C00303,2024-03-27,USA,New York,25-34,Female
C00304,2024-01-06,Australia,Melbourne,35-44,Female
C00305,2024-05-30,UK,Birmingham,35-44,Male
C00306,2024-05-21,Australia,Sydney,35-44,Female
C00307,2024-02-28,UK,Manchester,25-34,Female
C00308,2024-05-30,Canada,Toronto,55+,Female
C00309,2024-02-26,UK,Birmingham,35-44,Female
C00310,2024-01-02,USA,Phoenix,35-44,Female
C00311,2024-01-19,Canada,Toronto,35-44,Female
C00312,2024-06-30,Germany,Munich,25-34,Male
C00313,2024-06-10,Canada,Toronto,25-34,Female
C00314,2024-01-16,USA,New York,25-34,Female
C00315,2024-02-28,UK,Manchester,45-54,Female
C00316,2024-01-18,Germany,Berlin,18-24,Male
C00317,2024-08-19,Canada,Montreal,18-24,Male
C00318,2024-01-09,UK,London,18-24,Female
C00319,2024-08-08,USA,Chicago,18-24,Female
C00320,2024-03-25,UK,Birmingham,45-54,Female
C00321,2024-01-19,Canada,Toronto,35-44,Female
C00322,2024-05-11,Australia,Melbourne,25-34,Female
C00323,2024-03-01,Germany,Munich,18-24,Female
C00324,2024-03-12,USA,Chicago,25-34,Female
C00325,2024-06-20,Canada,Toronto,25-34,Female
C00326,2024-05-04,UK,London,25-34,Female
C00327,2024-02-24,Canada,Montreal,25-34,Male
C00328,2024-05-18,Germany,Munich,25-34,Male
C00329,2024-02-03,Canada,Toronto,35-44,Female
C00330,2024-07-04,Canada,Montreal,35-44,Male
C00331,2024-08-27,UK,Manchester,18-24,Male
C00332,2024-08-13,Australia,Melbourne,25-34,Male
C00333,2024-05-26,Canada,Toronto,35-44,Male
C00334,2024-05-27,USA,New York,35-44,Male
C00335,2024-05-01,UK,London,45-54,Male
C00336,2024-03-03,Germany,Berlin,35-44,Female
C00337,2024-07-19,USA,New York,25-34,Female
C00338,2024-05-01,UK,Birmingham,18-24,Male
C00339,2024-07-25,UK,Birmingham,35-44,Male
C00340,2024-04-14,Canada,Vancouver,18-24,Female
C00341,2024-02-18,USA,Los Angeles,35-44,Male
C00342,2024-01-25,UK,London,55+,Female
C00343,2024-01-25,Canada,Montreal,35-44,Female
C00344,2024-06-17,USA,New York,25-34,Female
C00345,2024-04-20,Australia,Sydney,35-44,Male
C00346,2024-03-31,Germany,Munich,25-34,Female
C00347,2024-04-18,Australia,Sydney,35-44,Male
C00348,2024-04-15,Germany,Munich,55+,Female
C00349,2024-04-29,Australia,Melbourne,25-34,Female
C00350,2024-08-09,Canada,Vancouver,55+,Male
C00351,2024-07-05,USA,Houston,55+,Male
C00352,2024-01-14,Canada,Toronto,25-34,Male
C00353,2024-06-21,UK,London,18-24,Female
C00354,2024-06-16,USA,Los Angeles,18-24,Male
C00355,2024-06-14,Canada,Toronto,18-24,Female
C00356,2024-01-26,Australia,Melbourne,18-24,Male
C00357,2024-01-16,Australia,Melbourne,35-44,Female
C00358,2024-04-13,Canada,Montreal,18-24,Female
C00359,2024-07-05,Canada,Vancouver,25-34,Female
C00360,2024-03-27,USA,Houston,45-54,Female
C00361,2024-07-23,Australia,Sydney,18-24,Male
C00362,2024-08-08,USA,New York,45-54,Male
C00363,2024-01-28,Canada,Toronto,25-34,Female
C00364,2024-03-04,UK,London,18-24,Male
C00365,2024-02-19,USA,Los Angeles,35-44,Male
C00366,2024-02-18,Canada,Montreal,35-44,Male
C00367,2024-05-17,Canada,Montreal,45-54,Male
C00368,2024-04-24,Australia,Sydney,35-44,Male
C00369,2024-02-05,Canada,Vancouver,45-54,Female
C00370,2024-04-18,Australia,Melbourne,25-34,Male
C00371,2024-02-16,Germany,Munich,25-34,Female
C00372,2024-03-12,UK,Birmingham,45-54,Male
C00373,2024-04-28,USA,Chicago,45-54,Female
C00374,2024-03-04,Germany,Berlin,55+,Male
C00375,2024-08-11,Canada,Vancouver,25-34,Female
C00376,2024-08-24,USA,Chicago,25-34,Female
C00377,2024-01-20,USA,Los Angeles,45-54,Male
C00378,2024-04-23,Canada,Toronto,25-34,Female
C00379,2024-07-25,Australia,Melbourne,55+,Other
C00380,2024-08-08,USA,Houston,45-54,Female
C00381,2024-08-07,USA,Houston,25-34,Female
C00382,2024-05-20,USA,Chicago,45-54,Male
C00383,2024-01-26,UK,Manchester,45-54,Female
C00384,2024-01-13,UK,Birmingham,18-24,Male
C00385,2024-06-15,UK,Manchester,55+,Male
C00386,2024-05-18,USA,Houston,35-44,Other
C00387,2024-08-02,UK,Birmingham,45-54,Male
C00388,2024-01-04,Australia,Sydney,25-34,Female
C00389,2024-09-05,USA,New York,45-54,Female
C00390,2024-01-24,UK,London,25-34,Female
C00391,2024-08-25,Canada,Montreal,18-24,Other
C00392,2024-07-11,Australia,Sydney,55+,Male
C00393,2024-08-05,Canada,Toronto,18-24,Male
C00394,2024-03-01,Germany,Berlin,25-34,Male
C00395,2024-02-12,UK,Manchester,55+,Male
C00396,2024-04-14,Germany,Munich,55+,Male
C00397,2024-05-04,Germany,Munich,35-44,Male
C00398,2024-05-03,Australia,Sydney,35-44,Female
C00399,2024-02-24,Australia,Melbourne,25-34,Female
C00400,2024-08-09,USA,Chicago,25-34,Male
C00401,2024-04-12,Australia,Sydney,25-34,Female
C00402,2024-08-19,USA,Los Angeles,35-44,Male
C00403,2024-01-16,Canada,Vancouver,45-54,Male
C00404,2024-02-12,USA,Houston,45-54,Female
C00405,2024-04-07,Canada,Toronto,45-54,Female
C00406,2024-01-01,UK,Manchester,18-24,Female
C00407,2024-04-09,Canada,Vancouver,25-34,Male
C00408,2024-03-08,UK,London,18-24,Female
C00409,2024-08-25,Canada,Toronto,35-44,Female
C00410,2024-07-19,UK,Manchester,25-34,Female
C00411,2024-07-19,UK,Birmingham,45-54,Female
C00412,2024-04-26,USA,Chicago,25-34,Female
C00413,2024-03-14,UK,London,18-24,Female
C00414,2024-04-18,Germany,Berlin,18-24,Female
C00415,2024-06-27,Canada,Montreal,45-54,Other
C00416,2024-09-02,UK,Manchester,35-44,Female
C00417,2024-07-06,Canada,Montreal,18-24,Male
C00418,2024-07-19,UK,Birmingham,18-24,Female
C00419,2024-05-22,Canada,Montreal,35-44,Male
C00420,2024-06-18,Australia,Sydney,18-24,Male
C00421,2024-07-02,Germany,Munich,45-54,Female
C00422,2024-05-04,Australia,Sydney,35-44,Female
C00423,2024-02-09,Canada,Vancouver,18-24,Female
C00424,2024-02-18,Canada,Vancouver,18-24,Male
C00425,2024-03-16,Australia,Melbourne,55+,Female
C00426,2024-02-25,Australia,Sydney,25-34,Male
C00427,2024-09-04,USA,Phoenix,25-34,Other
C00428,2024-01-15,Canada,Montreal,45-54,Other
C00429,2024-05-28,UK,London,55+,Female
C00430,2024-07-07,USA,New York,55+,Female
C00431,2024-05-18,USA,Los Angeles,45-54,Female
C00432,2024-01-16,USA,Phoenix,25-34,Female
C00433,2024-07-10,Canada,Vancouver,18-24,Male
C00434,2024-03-21,USA,Houston,45-54,Male
C00435,2024-01-15,USA,Los Angeles,35-44,Female
C00436,2024-01-13,USA,New York,25-34,Female
C00437,2024-05-29,Australia,Melbourne,55+,Male
C00438,2024-05-02,USA,Chicago,18-24,Female
C00439,2024-05-08,Australia,Sydney,25-34,Male
C00440,2024-08-23,USA,Chicago,18-24,Female
C00441,2024-08-06,Australia,Melbourne,25-34,Female
C00442,2024-05-15,Australia,Sydney,18-24,Female
C00443,2024-02-10,UK,Birmingham,18-24,Female
C00444,2024-01-15,UK,London,18-24,Male
C00445,2024-09-02,UK,Birmingham,35-44,Male
C00446,2024-05-10,UK,Birmingham,35-44,Female
C00447,2024-01-21,Canada,Vancouver,35-44,Female
C00448,2024-08-05,Germany,Munich,55+,Male
C00449,2024-02-17,Germany,Berlin,25-34,Female
C00450,2024-01-18,Australia,Sydney,25-34,Male
C00451,2024-06-01,Australia,Melbourne,45-54,Female
C00452,2024-01-18,USA,Houston,25-34,Female
C00453,2024-06-21,USA,Phoenix,55+,Male
C00454,2024-08-08,USA,Houston,18-24,Male
C00455,2024-03-01,Canada,Toronto,55+,Female
C00456,2024-04-13,Canada,Vancouver,18-24,Female
C00457,2024-01-31,Canada,Vancouver,45-54,Female
C00458,2024-08-29,UK,Manchester,35-44,Female
C00459,2024-08-15,Germany,Berlin,55+,Female
C00460,2024-05-25,UK,Manchester,18-24,Female
C00461,2024-03-04,Germany,Berlin,35-44,Female
C00462,2024-05-28,UK,London,55+,Female
C00463,2024-06-01,Australia,Melbourne,35-44,Male
C00464,2024-01-11,Australia,Melbourne,35-44,Male
C00465,2024-06-07,USA,New York,35-44,Female
C00466,2024-01-21,USA,Phoenix,25-34,Male
C00467,2024-04-17,USA,Phoenix,35-44,Female
C00468,2024-06-17,USA,New York,35-44,Female
C00469,2024-05-29,Australia,Sydney,55+,Female
C00470,2024-05-24,USA,Phoenix,18-24,Male
C00471,2024-05-13,UK,Birmingham,25-34,Male
C00472,2024-03-21,Germany,Munich,55+,Male
C00473,2024-08-27,UK,Birmingham,45-54,Male
C00474,2024-03-07,Canada,Montreal,25-34,Male
C00475,2024-02-22,USA,Los Angeles,35-44,Female
C00476,2024-06-20,Australia,Melbourne,25-34,Female
C00477,2024-07-02,UK,Manchester,25-34,Female
C00478,2024-03-21,USA,Chicago,25-34,Female
C00479,2024-03-02,USA,New York,25-34,Male
C00480,2024-03-08,Germany,Berlin,35-44,Female
C00481,2024-04-11,Canada,Vancouver,18-24,Female
C00482,2024-02-03,USA,Chicago,55+,Male
C00483,2024-06-20,Germany,Munich,55+,Female
C00484,2024-06-14,Canada,Montreal,35-44,Male
C00485,2024-03-17,Australia,Melbourne,35-44,Female
C00486,2024-04-27,USA,Houston,25-34,Other
C00487,2024-03-21,USA,New York,45-54,Male
C00488,2024-08-25,USA,New York,35-44,Female
C00489,2024-07-11,Canada,Montreal,25-34,Female
C00490,2024-08-27,Australia,Sydney,55+,Female
C00491,2024-01-19,Canada,Toronto,45-54,Male
C00492,2024-01-03,USA,Chicago,55+,Female
C00493,2024-04-27,USA,Chicago,35-44,Male
C00494,2024-06-08,USA,Chicago,35-44,Male
C00495,2024-05-24,Canada,Montreal,25-34,Male
C00496,2024-01-26,Germany,Munich,55+,Female
C00497,2024-01-19,Canada,Montreal,45-54,Female
C00498,2024-05-17,USA,New York,18-24,Female
C00499,2024-02-24,Canada,Toronto,18-24,Female
C00500,2024-05-09,USA,Los Angeles,25-34,Male
C00501,2024-03-08,USA,Houston,45-54,Male
C00502,2024-02-03,USA,Los Angeles,55+,Male
C00503,2024-08-26,UK,Birmingham,25-34,Male
C00504,2024-03-30,UK,Birmingham,35-44,Male
C00505,2024-08-13,Australia,Melbourne,25-34,Male
C00506,2024-01-18,UK,London,55+,Male
C00507,2024-08-13,USA,Chicago,45-54,Male
C00508,2024-03-03,Canada,Montreal,45-54,Male
C00509,2024-04-04,Australia,Sydney,25-34,Male
C00510,2024-03-13,USA,Los Angeles,25-34,Female
C00511,2024-02-10,USA,New York,25-34,Female
C00512,2024-04-22,Canada,Vancouver,18-24,Female
C00513,2024-08-01,Germany,Berlin,45-54,Male
C00514,2024-05-19,USA,Houston,45-54,Male
C00515,2024-06-29,UK,London,55+,Female
C00516,2024-03-18,Canada,Montreal,55+,Male
C00517,2024-06-05,Germany,Munich,35-44,Male
C00518,2024-07-25,Germany,Berlin,45-54,Male
C00519,2024-06-16,Germany,Munich,55+,Male
C00520,2024-05-15,UK,London,45-54,Male
C00521,2024-01-03,UK,Birmingham,25-34,Male
C00522,2024-06-19,Canada,Montreal,25-34,Female
C00523,2024-07-28,USA,Phoenix,18-24,Male
C00524,2024-05-21,Australia,Sydney,55+,Male
C00525,2024-03-17,USA,Houston,35-44,Female
C00526,2024-08-26,UK,Manchester,25-34,Male
C00527,2024-06-18,USA,Phoenix,35-44,Male
C00528,2024-01-27,Canada,Montreal,35-44,Female
C00529,2024-08-28,USA,Los Angeles,25-34,Male
C00530,2024-08-12,Germany,Munich,18-24,Male
