OrderID,OrderDate,CustomerID,ProductID,ProductName,Category,Quantity,UnitPrice,Revenue,Cost,ShippingCost,PaymentMethod,Status,Channel
O000021,2024-01-02,C00716,P008,Denim Jeans Classic,Clothing,2,59.99,119.98,44,9.26,Credit Card,Completed,Mobile App
O000022,2024-01-02,C02008,P011,Throw Pillow Set 2pc,Home & Garden,1,39.99,39.99,14,13.12,Credit Card,Returned,Website
O000023,2024-01-02,C01477,P015,Garden Tool Set 5pc,Home & Garden,2,44.99,89.98,38,14.82,Debit Card,Completed,Instagram
O000024,2024-01-02,C00210,P003,Bluetooth Speaker Mini,Electronics,1,49.99,49.99,25,11.78,Debit Card,Completed,Mobile App
O000025,2024-01-02,C01477,P006,Winter Jacket Premium,Clothing,1,79.99,79.99,68,8.24,PayPal,Completed,Mobile App
O000026,2024-01-02,C00406,P024,Hair Oil Argan,Beauty,1,27.99,27.99,8,14.76,Credit Card,Completed,Facebook Shop
O000027,2024-01-02,C02769,P015,Garden Tool Set 5pc,Home & Garden,2,44.99,89.98,38,10.76,Credit Card,Completed,Website
O000028,2024-01-02,C02769,P004,Laptop Stand Aluminum,Electronics,1,39.99,39.99,18,6.37,PayPal,Completed,Mobile App
O000029,2024-01-02,C01477,P004,Laptop Stand Aluminum,Electronics,1,39.99,39.99,18,13.36,Debit Card,Completed,Instagram
O000030,2024-01-02,C00716,P006,Winter Jacket Premium,Clothing,1,79.99,79.99,68,12.93,Credit Card,Completed,Website
O000031,2024-01-02,C00036,P012,LED Desk Lamp,Home & Garden,1,42.99,42.99,16,12.64,PayPal,Completed,Facebook Shop
O000032,2024-01-02,C01477,P021,Face Serum Vitamin C,Beauty,1,39.99,39.99,12,10.93,Credit Card,Completed,Facebook Shop
O000033,2024-01-02,C01477,P012,LED Desk Lamp,Home & Garden,1,42.99,42.99,16,8.36,Credit Card,Completed,Mobile App
O000034,2024-01-02,C00210,P005,USB-C Hub 7-in-1,Electronics,1,45.99,45.99,22,6.21,Debit Card,Completed,Facebook Shop
O000035,2024-01-02,C00940,P013,Plant Pot Ceramic 3pc,Home & Garden,1,29.99,29.99,11,6.41,PayPal,Completed,Facebook Shop
O000036,2024-01-02,C00563,P024,Hair Oil Argan,Beauty,2,27.99,55.98,16,9.15,Credit Card,Completed,Website
O000037,2024-01-02,C02218,P017,Resistance Bands Set,Sports,1,29.99,29.99,9,11.96,PayPal,Completed,Website
O000038,2024-01-02,C02299,P017,Resistance Bands Set,Sports,1,29.99,29.99,9,10.53,PayPal,Completed,Mobile App
O000039,2024-01-02,C01566,P003,Bluetooth Speaker Mini,Electronics,1,49.99,49.99,25,9.39,Credit Card,Completed,Website
O000040,2024-01-03,C00577,P004,Laptop Stand Aluminum,Electronics,1,39.99,39.99,18,5.41,Credit Card,Returned,Website
O000041,2024-01-03,C01726,P008,Denim Jeans Classic,Clothing,1,59.99,59.99,22,6.0,Credit Card,Completed,Mobile App
O000042,2024-01-03,C00768,P011,Throw Pillow Set 2pc,Home & Garden,1,39.99,39.99,14,13.47,Credit Card,Completed,Mobile App
O000043,2024-01-03,C01339,P023,Makeup Brush Set 12pc,Beauty,1,49.99,49.99,15,11.12,Credit Card,Completed,Mobile App
O000044,2024-01-03,C00563,P001,Wireless Headphones Pro,Electronics,1,89.99,89.99,45,12.78,Credit Card,Completed,Instagram
O000045,2024-01-03,C00940,P003,Bluetooth Speaker Mini,Electronics,2,49.99,99.98,50,5.16,Credit Card,Completed,Website
O000046,2024-01-03,C00406,P022,Moisturizer Daily,Beauty,1,34.99,34.99,10,9.87,Debit Card,Completed,Instagram
O000047,2024-01-03,C00577,P026,Old Phone Case,Electronics,1,14.99,14.99,5,5.06,Debit Card,Completed,Website
O000048,2024-01-03,C00210,P023,Makeup Brush Set 12pc,Beauty,2,49.99,99.98,30,6.79,PayPal,Completed,Mobile App
O000049,2024-01-03,C00521,P011,Throw Pillow Set 2pc,Home & Garden,2,39.99,79.98,28,5.89,PayPal,Completed,Website
O000050,2024-01-03,C02008,P026,Old Phone Case,Electronics,1,14.99,14.99,5,11.52,PayPal,Completed,Website
O000051,2024-01-03,C00492,P003,Bluetooth Speaker Mini,Electronics,2,49.99,99.98,50,13.87,Credit Card,Completed,Mobile App
O000052,2024-01-03,C02218,P007,Cotton T-Shirt Basic,Clothing,1,24.99,24.99,8,9.16,Credit Card,Completed,Facebook Shop
O000053,2024-01-03,C00716,P025,Sunscreen SPF 50,Beauty,1,29.99,29.99,9,13.07,Credit Card,Completed,Mobile App
O000054,2024-01-03,C01339,P022,Moisturizer Daily,Beauty,1,34.99,34.99,10,12.73,Credit Card,Cancelled,Website
O000055,2024-01-03,C01339,P017,Resistance Bands Set,Sports,1,29.99,29.99,9,11.92,PayPal,Completed,Website
O000056,2024-01-03,C00768,P012,LED Desk Lamp,Home & Garden,1,42.99,42.99,16,7.06,Credit Card,Completed,Website
O000057,2024-01-03,C02769,P022,Moisturizer Daily,Beauty,2,34.99,69.98,20,11.4,Credit Card,Completed,Mobile App
O000058,2024-01-03,C02287,P021,Face Serum Vitamin C,Beauty,1,39.99,39.99,12,10.23,PayPal,Completed,Website
O000059,2024-01-03,C00716,P024,Hair Oil Argan,Beauty,1,27.99,27.99,8,9.12,PayPal,Completed,Instagram
O000060,2024-01-04,C01171,P018,Water Bottle 32oz,Sports,2,24.99,49.98,14,11.11,PayPal,Completed,Mobile App
O000061,2024-01-04,C00241,P011,Throw Pillow Set 2pc,Home & Garden,1,39.99,39.99,14,5.38,Credit Card,Completed,Website
O000062,2024-01-04,C01477,P026,Old Phone Case,Electronics,1,14.99,14.99,5,6.8,Credit Card,Completed,Mobile App
O000063,2024-01-04,C01266,P012,LED Desk Lamp,Home & Garden,1,42.99,42.99,16,10.0,PayPal,Completed,Mobile App
O000064,2024-01-04,C01102,P013,Plant Pot Ceramic 3pc,Home & Garden,1,29.99,29.99,11,14.5,PayPal,Completed,Instagram
O000065,2024-01-04,C00310,P006,Winter Jacket Premium,Clothing,2,79.99,159.98,136,11.27,Credit Card,Completed,Instagram
O000066,2024-01-04,C01339,P020,Jump Rope Pro,Sports,1,19.99,19.99,6,12.83,Credit Card,Completed,Website
O000067,2024-01-04,C00310,P020,Jump Rope Pro,Sports,1,19.99,19.99,6,8.48,PayPal,Completed,Instagram
O000068,2024-01-04,C00716,P011,Throw Pillow Set 2pc,Home & Garden,1,39.99,39.99,14,5.05,Debit Card,Completed,Website
O000069,2024-01-04,C00577,P024,Hair Oil Argan,Beauty,1,27.99,27.99,8,7.36,Credit Card,Returned,Instagram
O000070,2024-01-04,C01871,P010,Hoodie Comfort,Clothing,1,49.99,49.99,18,6.18,PayPal,Completed,Mobile App
O000071,2024-01-04,C01171,P002,Smart Watch Ultra,Electronics,1,249.99,249.99,120,10.3,Credit Card,Completed,Instagram
O000072,2024-01-04,C00940,P003,Bluetooth Speaker Mini,Electronics,1,49.99,49.99,25,5.96,Credit Card,Cancelled,Mobile App
O000073,2024-01-04,C00716,P008,Denim Jeans Classic,Clothing,1,59.99,59.99,22,8.62,Credit Card,Completed,Website
O000074,2024-01-04,C02008,P022,Moisturizer Daily,Beauty,1,34.99,34.99,10,12.61,Debit Card,Completed,Website
O000075,2024-01-04,C02218,P009,Running Shorts Sport,Clothing,2,34.99,69.98,24,10.4,Credit Card,Completed,Website
O000076,2024-01-04,C01871,P023,Makeup Brush Set 12pc,Beauty,1,49.99,49.99,15,7.19,Credit Card,Completed,Website
O000077,2024-01-04,C00716,P014,Wall Clock Modern,Home & Garden,1,34.99,34.99,13,12.7,PayPal,Completed,Instagram
O000078,2024-01-04,C00388,P026,Old Phone Case,Electronics,1,14.99,14.99,5,11.59,Credit Card,Completed,Website
O000079,2024-01-04,C01871,P025,Sunscreen SPF 50,Beauty,1,29.99,29.99,9,7.76,PayPal,Completed,Mobile App
O000080,2024-01-05,C02800,P024,Hair Oil Argan,Beauty,1,27.99,27.99,8,12.97,PayPal,Completed,Mobile App
O000081,2024-01-05,C02287,P002,Smart Watch Ultra,Electronics,1,249.99,249.99,120,11.85,PayPal,Completed,Website
O000082,2024-01-05,C02008,P023,Makeup Brush Set 12pc,Beauty,1,49.99,49.99,15,14.69,Credit Card,Completed,Instagram
O000083,2024-01-05,C01566,P008,Denim Jeans Classic,Clothing,1,59.99,59.99,22,9.74,Credit Card,Completed,Instagram
O000084,2024-01-05,C02729,P014,Wall Clock Modern,Home & Garden,1,34.99,34.99,13,6.76,PayPal,Completed,Website
O000085,2024-01-05,C02029,P013,Plant Pot Ceramic 3pc,Home & Garden,1,29.99,29.99,11,11.7,Credit Card,Completed,Website
O000086,2024-01-05,C00245,P011,Throw Pillow Set 2pc,Home & Garden,1,39.99,39.99,14,5.43,Credit Card,Completed,Facebook Shop
O000087,2024-01-05,C00833,P018,Water Bottle 32oz,Sports,1,24.99,24.99,7,11.45,Debit Card,Completed,Mobile App
O000088,2024-01-05,C02008,P014,Wall Clock Modern,Home & Garden,1,34.99,34.99,13,7.85,Credit Card,Completed,Website
O000089,2024-01-05,C00193,P004,Laptop Stand Aluminum,Electronics,2,39.99,79.98,36,9.35,Credit Card,Completed,Instagram
O000090,2024-01-05,C00940,P008,Denim Jeans Classic,Clothing,3,59.99,179.97,66,8.34,Debit Card,Completed,Mobile App
O000091,2024-01-05,C01102,P002,Smart Watch Ultra,Electronics,2,249.99,499.98,240,13.05,Credit Card,Completed,Website
O000092,2024-01-05,C02760,P003,Bluetooth Speaker Mini,Electronics,1,49.99,49.99,25,12.58,Credit Card,Completed,Website
O000093,2024-01-05,C00563,P003,Bluetooth Speaker Mini,Electronics,1,49.99,49.99,25,5.43,Debit Card,Completed,Facebook Shop
O000094,2024-01-05,C01102,P011,Throw Pillow Set 2pc,Home & Garden,1,39.99,39.99,14,12.4,PayPal,Completed,Instagram
O000095,2024-01-05,C00245,P010,Hoodie Comfort,Clothing,1,49.99,49.99,18,14.25,PayPal,Completed,Website
O000096,2024-01-05,C01630,P018,Water Bottle 32oz,Sports,1,24.99,24.99,7,6.76,Credit Card,Returned,Website
O000097,2024-01-05,C02760,P008,Denim Jeans Classic,Clothing,3,59.99,179.97,66,12.85,Credit Card,Completed,Website
O000098,2024-01-05,C02726,P013,Plant Pot Ceramic 3pc,Home & Garden,1,29.99,29.99,11,9.85,Credit Card,Completed,Instagram
O000099,2024-01-05,C02726,P006,Winter Jacket Premium,Clothing,1,79.99,79.99,68,6.16,Debit Card,Completed,Website
O000100,2024-01-06,C00940,P020,Jump Rope Pro,Sports,2,19.99,39.98,12,12.21,PayPal,Completed,Website
O000101,2024-01-06,C01762,P006,Winter Jacket Premium,Clothing,1,79.99,79.99,68,10.93,Credit Card,Completed,Mobile App
O000102,2024-01-06,C01983,P012,LED Desk Lamp,Home & Garden,1,42.99,42.99,16,8.26,Credit Card,Completed,Website
O000103,2024-01-06,C00521,P008,Denim Jeans Classic,Clothing,1,59.99,59.99,22,6.99,Credit Card,Completed,Instagram
O000104,2024-01-06,C01762,P006,Winter Jacket Premium,Clothing,2,79.99,159.98,136,11.77,Credit Card,Completed,Instagram
O000105,2024-01-06,C02287,P010,Hoodie Comfort,Clothing,1,49.99,49.99,18,8.26,Credit Card,Returned,Mobile App
O000106,2024-01-06,C00716,P019,Foam Roller,Sports,1,32.99,32.99,11,12.79,PayPal,Completed,Facebook Shop
O000107,2024-01-06,C01339,P005,USB-C Hub 7-in-1,Electronics,1,45.99,45.99,22,8.26,Credit Card,Completed,Instagram
O000108,2024-01-06,C00577,P001,Wireless Headphones Pro,Electronics,1,89.99,89.99,45,5.98,Debit Card,Completed,Mobile App
O000109,2024-01-06,C01102,P005,USB-C Hub 7-in-1,Electronics,2,45.99,91.98,44,12.38,Credit Card,Completed,Website
O000110,2024-01-06,C02790,P021,Face Serum Vitamin C,Beauty,1,39.99,39.99,12,13.7,Credit Card,Completed,Mobile App
O000111,2024-01-06,C00304,P017,Resistance Bands Set,Sports,1,29.99,29.99,9,8.76,PayPal,Completed,Website
O000112,2024-01-06,C02769,P005,USB-C Hub 7-in-1,Electronics,1,45.99,45.99,22,7.21,Credit Card,Completed,Mobile App
O000113,2024-01-06,C02337,P017,Resistance Bands Set,Sports,1,29.99,29.99,9,9.71,Credit Card,Completed,Instagram
O000114,2024-01-06,C02008,P017,Resistance Bands Set,Sports,1,29.99,29.99,9,9.84,Credit Card,Completed,Website
O000115,2024-01-06,C01266,P005,USB-C Hub 7-in-1,Electronics,2,45.99,91.98,44,13.9,Credit Card,Completed,Mobile App
O000116,2024-01-06,C00210,P009,Running Shorts Sport,Clothing,1,34.99,34.99,12,6.45,Credit Card,Completed,Facebook Shop
O000117,2024-01-06,C00193,P017,Resistance Bands Set,Sports,1,29.99,29.99,9,14.28,PayPal,Completed,Instagram
O000118,2024-01-06,C00492,P007,Cotton T-Shirt Basic,Clothing,1,24.99,24.99,8,9.55,Credit Card,Completed,Website
O000119,2024-01-06,C02729,P021,Face Serum Vitamin C,Beauty,1,39.99,39.99,12,8.87,PayPal,Completed,Instagram
O000120,2024-01-06,C01032,P019,Foam Roller,Sports,1,32.99,32.99,11,6.36,Credit Card,Completed,Instagram
O000121,2024-01-06,C00940,P010,Hoodie Comfort,Clothing,1,49.99,49.99,18,12.2,Credit Card,Completed,Mobile App
O000122,2024-01-06,C01871,P006,Winter Jacket Premium,Clothing,1,79.99,79.99,68,11.32,Credit Card,Cancelled,Website
O000123,2024-01-06,C02564,P015,Garden Tool Set 5pc,Home & Garden,1,44.99,44.99,19,14.76,Credit Card,Completed,Facebook Shop
O000124,2024-01-06,C01762,P011,Throw Pillow Set 2pc,Home & Garden,1,39.99,39.99,14,7.02,PayPal,Completed,Instagram
O000125,2024-01-07,C00940,P010,Hoodie Comfort,Clothing,1,49.99,49.99,18,11.92,Credit Card,Completed,Mobile App
O000126,2024-01-07,C00521,P019,Foam Roller,Sports,1,32.99,32.99,11,5.6,Credit Card,Completed,Instagram
O000127,2024-01-07,C01515,P013,Plant Pot Ceramic 3pc,Home & Garden,1,29.99,29.99,11,6.37,PayPal,Completed,Website
O000128,2024-01-07,C01062,P011,Throw Pillow Set 2pc,Home & Garden,1,39.99,39.99,14,13.52,Credit Card,Completed,Instagram
O000129,2024-01-07,C02218,P005,USB-C Hub 7-in-1,Electronics,1,45.99,45.99,22,9.59,Credit Card,Completed,Instagram
O000130,2024-01-07,C00245,P018,Water Bottle 32oz,Sports,1,24.99,24.99,7,6.71,PayPal,Completed,Instagram
O000131,2024-01-07,C00521,P005,USB-C Hub 7-in-1,Electronics,1,45.99,45.99,22,8.44,PayPal,Completed,Instagram
O000132,2024-01-07,C00388,P017,Resistance Bands Set,Sports,2,29.99,59.98,18,13.86,Credit Card,Completed,Website
O000133,2024-01-07,C01190,P011,Throw Pillow Set 2pc,Home & Garden,1,39.99,39.99,14,11.04,PayPal,Completed,Mobile App
O000134,2024-01-07,C00979,P010,Hoodie Comfort,Clothing,1,49.99,49.99,18,12.9,Credit Card,Completed,Instagram
O000135,2024-01-07,C01102,P003,Bluetooth Speaker Mini,Electronics,1,49.99,49.99,25,11.38,PayPal,Completed,Website
O000136,2024-01-07,C00245,P004,Laptop Stand Aluminum,Electronics,1,39.99,39.99,18,11.12,Debit Card,Completed,Instagram
O000137,2024-01-07,C02029,P025,Sunscreen SPF 50,Beauty,1,29.99,29.99,9,6.7,PayPal,Completed,Instagram
O000138,2024-01-07,C01339,P026,Old Phone Case,Electronics,2,14.99,29.98,10,14.7,Debit Card,Completed,Instagram
O000139,2024-01-07,C00022,P011,Throw Pillow Set 2pc,Home & Garden,3,39.99,119.97,42,13.55,PayPal,Completed,Mobile App
O000140,2024-01-07,C00631,P023,Makeup Brush Set 12pc,Beauty,2,49.99,99.98,30,5.86,PayPal,Completed,Facebook Shop
O000141,2024-01-07,C02564,P016,Yoga Mat Premium,Sports,1,44.99,44.99,15,13.57,Credit Card,Completed,Website
O000142,2024-01-07,C00241,P001,Wireless Headphones Pro,Electronics,3,89.99,269.97,135,9.89,PayPal,Completed,Website
O000143,2024-01-07,C00979,P001,Wireless Headphones Pro,Electronics,1,89.99,89.99,45,14.96,Credit Card,Completed,Facebook Shop
O000144,2024-01-07,C02008,P008,Denim Jeans Classic,Clothing,1,59.99,59.99,22,10.92,PayPal,Returned,Instagram
O000145,2024-01-08,C01171,P011,Throw Pillow Set 2pc,Home & Garden,1,39.99,39.99,14,7.79,Credit Card,Cancelled,Website
O000146,2024-01-08,C01410,P007,Cotton T-Shirt Basic,Clothing,1,24.99,24.99,8,12.3,Credit Card,Completed,Website
O000147,2024-01-08,C01153,P011,Throw Pillow Set 2pc,Home & Garden,1,39.99,39.99,14,12.36,Credit Card,Completed,Website
O000148,2024-01-08,C02230,P018,Water Bottle 32oz,Sports,2,24.99,49.98,14,7.47,Debit Card,Cancelled,Website
O000149,2024-01-08,C00768,P019,Foam Roller,Sports,1,32.99,32.99,11,8.27,PayPal,Completed,Mobile App
O000150,2024-01-08,C00304,P008,Denim Jeans Classic,Clothing,1,59.99,59.99,22,10.79,Credit Card,Returned,Mobile App
O000151,2024-01-08,C00492,P006,Winter Jacket Premium,Clothing,2,79.99,159.98,136,13.92,Debit Card,Completed,Website
O000152,2024-01-08,C02729,P006,Winter Jacket Premium,Clothing,1,79.99,79.99,68,10.92,Credit Card,Completed,Mobile App
O000153,2024-01-08,C02790,P006,Winter Jacket Premium,Clothing,1,79.99,79.99,68,6.49,PayPal,Completed,Mobile App
O000154,2024-01-08,C01871,P017,Resistance Bands Set,Sports,1,29.99,29.99,9,10.74,Credit Card,Returned,Mobile App
O000155,2024-01-08,C01013,P004,Laptop Stand Aluminum,Electronics,2,39.99,79.98,36,5.05,PayPal,Returned,Website
O000156,2024-01-08,C00016,P012,LED Desk Lamp,Home & Garden,1,42.99,42.99,16,14.8,Credit Card,Completed,Mobile App
O000157,2024-01-08,C02800,P024,Hair Oil Argan,Beauty,1,27.99,27.99,8,5.4,Debit Card,Completed,Website
O000158,2024-01-08,C00563,P022,Moisturizer Daily,Beauty,1,34.99,34.99,10,9.71,Credit Card,Completed,Mobile App
O000159,2024-01-08,C02691,P005,USB-C Hub 7-in-1,Electronics,1,45.99,45.99,22,12.69,Credit Card,Completed,Mobile App
O000160,2024-01-08,C01032,P024,Hair Oil Argan,Beauty,1,27.99,27.99,8,5.34,Debit Card,Completed,Facebook Shop
O000161,2024-01-08,C02209,P019,Foam Roller,Sports,2,32.99,65.98,22,10.31,Credit Card,Completed,Mobile App
O000162,2024-01-08,C00022,P024,Hair Oil Argan,Beauty,2,27.99,55.98,16,9.79,Credit Card,Returned,Website
O000163,2024-01-08,C00210,P021,Face Serum Vitamin C,Beauty,1,39.99,39.99,12,12.98,Credit Card,Completed,Website
O000164,2024-01-09,C01420,P024,Hair Oil Argan,Beauty,1,27.99,27.99,8,9.52,PayPal,Completed,Website
O000165,2024-01-09,C01062,P012,LED Desk Lamp,Home & Garden,2,42.99,85.98,32,7.41,Credit Card,Completed,Facebook Shop
O000166,2024-01-09,C02959,P023,Makeup Brush Set 12pc,Beauty,1,49.99,49.99,15,10.58,Credit Card,Returned,Mobile App
O000167,2024-01-09,C00310,P021,Face Serum Vitamin C,Beauty,1,39.99,39.99,12,5.12,Credit Card,Completed,Website
O000168,2024-01-09,C01812,P016,Yoga Mat Premium,Sports,1,44.99,44.99,15,12.32,Credit Card,Completed,Facebook Shop
O000169,2024-01-09,C02337,P008,Denim Jeans Classic,Clothing,1,59.99,59.99,22,14.5,PayPal,Completed,Website
O000170,2024-01-09,C01410,P016,Yoga Mat Premium,Sports,1,44.99,44.99,15,6.33,Credit Card,Completed,Website
O000171,2024-01-09,C02948,P006,Winter Jacket Premium,Clothing,1,79.99,79.99,68,7.96,Debit Card,Completed,Instagram
O000172,2024-01-09,C02022,P017,Resistance Bands Set,Sports,1,29.99,29.99,9,11.48,Credit Card,Completed,Website
O000173,2024-01-09,C01032,P022,Moisturizer Daily,Beauty,1,34.99,34.99,10,5.91,Debit Card,Completed,Facebook Shop
O000174,2024-01-09,C00577,P008,Denim Jeans Classic,Clothing,1,59.99,59.99,22,9.8,PayPal,Completed,Website
O000175,2024-01-09,C00833,P011,Throw Pillow Set 2pc,Home & Garden,1,39.99,39.99,14,8.05,Credit Card,Completed,Mobile App
O000176,2024-01-09,C00388,P017,Resistance Bands Set,Sports,1,29.99,29.99,9,12.03,Credit Card,Completed,Website
O000177,2024-01-09,C02029,P023,Makeup Brush Set 12pc,Beauty,2,49.99,99.98,30,13.58,Debit Card,Completed,Instagram
O000178,2024-01-09,C01062,P002,Smart Watch Ultra,Electronics,1,249.99,249.99,120,12.47,PayPal,Completed,Mobile App
O000179,2024-01-09,C00015,P017,Resistance Bands Set,Sports,1,29.99,29.99,9,5.24,Credit Card,Completed,Website
O000180,2024-01-09,C00577,P019,Foam Roller,Sports,1,32.99,32.99,11,9.55,Credit Card,Completed,Instagram
O000181,2024-01-09,C01420,P014,Wall Clock Modern,Home & Garden,1,34.99,34.99,13,12.72,Credit Card,Completed,Instagram
O000182,2024-01-09,C01566,P001,Wireless Headphones Pro,Electronics,1,89.99,89.99,45,13.74,Credit Card,Completed,Mobile App
O000183,2024-01-10,C01339,P015,Garden Tool Set 5pc,Home & Garden,1,44.99,44.99,19,12.9,Credit Card,Completed,Mobile App
O000184,2024-01-10,C02691,P019,Foam Roller,Sports,1,32.99,32.99,11,8.7,Credit Card,Completed,Mobile App
O000185,2024-01-10,C02299,P021,Face Serum Vitamin C,Beauty,2,39.99,79.98,24,9.64,PayPal,Completed,Instagram
O000186,2024-01-10,C00016,P006,Winter Jacket Premium,Clothing,2,79.99,159.98,136,11.33,Credit Card,Completed,Website
O000187,2024-01-10,C01762,P009,Running Shorts Sport,Clothing,1,34.99,34.99,12,13.6,Credit Card,Returned,Instagram
O000188,2024-01-10,C00310,P013,Plant Pot Ceramic 3pc,Home & Garden,2,29.99,59.98,22,5.71,PayPal,Completed,Facebook Shop
O000189,2024-01-10,C02769,P026,Old Phone Case,Electronics,1,14.99,14.99,5,13.93,Credit Card,Completed,Website
O000190,2024-01-10,C02729,P013,Plant Pot Ceramic 3pc,Home & Garden,1,29.99,29.99,11,8.33,Credit Card,Completed,Mobile App
O000191,2024-01-10,C00979,P025,Sunscreen SPF 50,Beauty,2,29.99,59.98,18,5.33,Credit Card,Completed,Mobile App
O000192,2024-01-10,C01266,P025,Sunscreen SPF 50,Beauty,1,29.99,29.99,9,9.26,Credit Card,Completed,Website
O000193,2024-01-10,C00210,P006,Winter Jacket Premium,Clothing,2,79.99,159.98,136,7.7,Debit Card,Completed,Facebook Shop
O000194,2024-01-10,C00768,P023,Makeup Brush Set 12pc,Beauty,1,49.99,49.99,15,14.46,PayPal,Completed,Website
O000195,2024-01-10,C02855,P006,Winter Jacket Premium,Clothing,2,79.99,159.98,136,10.42,Credit Card,Cancelled,Instagram
O000196,2024-01-10,C01566,P008,Denim Jeans Classic,Clothing,1,59.99,59.99,22,12.94,PayPal,Completed,Instagram
O000197,2024-01-10,C02022,P001,Wireless Headphones Pro,Electronics,1,89.99,89.99,45,12.88,Credit Card,Completed,Instagram
O000198,2024-01-10,C00631,P015,Garden Tool Set 5pc,Home & Garden,3,44.99,134.97,57,5.81,Credit Card,Completed,Mobile App
O000199,2024-01-10,C02981,P021,Face Serum Vitamin C,Beauty,2,39.99,79.98,24,13.81,Debit Card,Completed,Website
O000200,2024-01-11,C01983,P009,Running Shorts Sport,Clothing,1,34.99,34.99,12,5.55,PayPal,Completed,Website
O000201,2024-01-11,C02959,P006,Winter Jacket Premium,Clothing,1,79.99,79.99,68,14.45,Credit Card,Completed,Mobile App
O000202,2024-01-11,C02022,P015,Garden Tool Set 5pc,Home & Garden,1,44.99,44.99,19,11.75,Credit Card,Completed,Facebook Shop
O000203,2024-01-11,C01102,P006,Winter Jacket Premium,Clothing,1,79.99,79.99,68,13.88,PayPal,Completed,Website
O000204,2024-01-11,C00586,P020,Jump Rope Pro,Sports,1,19.99,19.99,6,6.11,PayPal,Completed,Mobile App
O000205,2024-01-11,C00130,P001,Wireless Headphones Pro,Electronics,1,89.99,89.99,45,8.66,Credit Card,Completed,Instagram
O000206,2024-01-11,C02020,P013,Plant Pot Ceramic 3pc,Home & Garden,1,29.99,29.99,11,11.19,Credit Card,Completed,Facebook Shop
O000207,2024-01-11,C01615,P024,Hair Oil Argan,Beauty,1,27.99,27.99,8,8.66,Credit Card,Completed,Mobile App
O000208,2024-01-11,C00979,P026,Old Phone Case,Electronics,2,14.99,29.98,10,6.75,PayPal,Completed,Website
O000209,2024-01-11,C01566,P005,USB-C Hub 7-in-1,Electronics,3,45.99,137.97,66,10.59,Debit Card,Completed,Mobile App
O000210,2024-01-11,C02855,P001,Wireless Headphones Pro,Electronics,1,89.99,89.99,45,5.67,Credit Card,Completed,Website
O000211,2024-01-11,C01505,P023,Makeup Brush Set 12pc,Beauty,1,49.99,49.99,15,12.09,Debit Card,Completed,Instagram
